Time (absolute),Level,Robot name,Process,Hostname,Host Identity,Message
2025-10-23 07:33:42.113,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,Invoke S_SFTP_DownloadFiles workflow: BE002
2025-10-23 07:33:46.887,Fatal,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,Business exception at initialization: BE002 at Source: Invoke S_SFTP_DownloadFiles workflow: Throw
2025-10-23 08:33:45.207,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,Throw: BE002
2025-10-23 08:33:45.590,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,No Files Available in SFTP: BE002
2025-10-23 08:33:45.893,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Sending email.... 
Hi team,

The Bot terminated as there is no input files to process in SFTP.

"
2025-10-23 08:33:45.900,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,Invoke S_SFTP_DownloadFiles workflow: BE002
2025-10-23 08:33:54.050,Fatal,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,Business exception at initialization: BE002 at Source: Invoke S_SFTP_DownloadFiles workflow: Throw
2025-10-23 09:41:45.700,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Error occured: BE008; Incorrect Attachment "
2025-10-23 09:41:45.700,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Throw - BE008: BE008; Incorrect Attachment "
2025-10-23 09:41:45.700,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"BE008; Incorrect Attachment "
2025-10-23 09:41:45.700,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Invoke S_RMS_RecheckStatusOfRedemption workflow: BE008; Incorrect Attachment "
2025-10-23 09:41:45.703,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Errori in Redemption validation: BE008; Incorrect Attachment "
2025-10-23 09:41:45.703,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Invoke S_RMS_Cashback_ValidateRedemption workflow: BE008; Incorrect Attachment "
2025-10-23 09:41:45.707,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Error in Process: BE008; Incorrect Attachment "
2025-10-23 09:41:45.707,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Invoke TS_RPA_SDS_03_ ValidateRedemption workflow: BE008; Incorrect Attachment "
2025-10-23 09:41:55.263,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Business rule exception  occurred.BE008; Incorrect Attachment "
2025-10-23 10:35:20.233,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Retry Scope: Could not find the UI element corresponding to this selector:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>
[2] <webctrl idx='1' tag='SPAN'/>

Search failed at selector tag:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>

The closest matches found are:
[50%] <webctrl tableCol='1' tableRow='1' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>"
2025-10-23 10:35:20.527,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Error in  TS_RPA_SDS_02_DispatcherTask Details: Retry Scope Could not find the UI element corresponding to this selector:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>
[2] <webctrl idx='1' tag='SPAN'/>

Search failed at selector tag:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>

The closest matches found are:
[50%] <webctrl tableCol='1' tableRow='1' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>"
2025-10-23 10:35:20.920,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"Invoke S_SFTP_DownloadFiles workflow: Could not find the UI element corresponding to this selector:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>
[2] <webctrl idx='1' tag='SPAN'/>

Search failed at selector tag:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>

The closest matches found are:
[50%] <webctrl tableCol='1' tableRow='1' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>"
2025-10-23 10:35:25.067,Fatal,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,"System exception at initialization: Could not find the UI element corresponding to this selector:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>
[2] <webctrl idx='1' tag='SPAN'/>

Search failed at selector tag:
[1] <webctrl tableCol='1' tableRow='2' tag='LABEL'/>

The closest matches found are:
[50%] <webctrl tableCol='1' tableRow='1' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/>
[ 0%] <webctrl tableCol='' tableRow='' tag='LABEL'/> at Source: Invoke S_SFTP_DownloadFiles workflow: Retry Scope"
2025-10-23 11:33:45.957,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,Throw: BE002
2025-10-23 11:33:46.293,Error,fr-up-sds-217@ibmemea-unattended,SEAU_RMS_Redemption_Validation,FR-RPAVDI-217,IBMEMEA\fr-up-sds-217,No Files Available in SFTP: BE002
